drg,Description,RW,GMLOS,AMLOS,national_payment_rate
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,5.1816,6.6,9.5,"$30,527.14 "
271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,3.5646,4.3,5.7,"$21,000.66 "
272,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,2.6888,2,2.6,"$15,840.93 "
273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,3.8372,4.3,6.1,"$22,606.67 "
274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,3.2854,1.6,2,"$19,355.77 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",1.6262,4.1,5.4,"$9,580.68 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH CC",0.9321,2.5,3.1,"$5,491.42 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITHOUT CC/MCC",0.7255,1.8,2.1,"$4,274.25 "
283,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH MCC",1.8646,2.9,4.8,"$10,985.20 "
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITH CC",0.7342,1.6,2.1,"$4,325.50 "
285,"ACUTE MYOCARDIAL INFARCTION, EXPIRED WITHOUT CC/MCC",0.4964,1.2,1.4,"$2,924.52 "
286,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITH MCC",2.2141,5.3,7,"$13,044.26 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC",1.15,2.3,2.9,"$6,775.17 "
288,ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC,2.681,7.1,9.3,"$15,794.98 "
289,ACUTE AND SUBACUTE ENDOCARDITIS WITH CC,1.6426,5.3,6.7,"$9,677.30 "
290,ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC,1.0236,3.6,4.5,"$6,030.49 "
291,HEART FAILURE AND SHOCK WITH MCC,1.3409,4,5.1,"$7,899.85 "
292,HEART FAILURE AND SHOCK WITH CC,0.8951,3.1,3.8,"$5,273.44 "
293,HEART FAILURE AND SHOCK WITHOUT CC/MCC,0.6526,2.3,2.8,"$3,844.76 "
294,DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC,1.2821,3.3,4.4,"$7,553.43 "
295,DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC,0.9813,2.6,3.3,"$5,781.28 "
296,"CARDIAC ARREST, UNEXPLAINED WITH MCC",1.5948,2,3.2,"$9,395.68 "
297,"CARDIAC ARREST, UNEXPLAINED WITH CC",0.7046,1.3,1.7,"$4,151.12 "
298,"CARDIAC ARREST, UNEXPLAINED WITHOUT CC/MCC",0.4882,1.1,1.1,"$2,876.21 "
299,PERIPHERAL VASCULAR DISORDERS WITH MCC,1.5314,3.9,5.2,"$9,022.17 "
300,PERIPHERAL VASCULAR DISORDERS WITH CC,1.0422,3.1,4,"$6,140.07 "
301,PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC,0.7425,2.2,2.7,"$4,374.40 "
302,ATHEROSCLEROSIS WITH MCC,1.0935,2.7,3.7,"$6,442.30 "
303,ATHEROSCLEROSIS WITHOUT MCC,0.6764,1.9,2.3,"$3,984.98 "
304,HYPERTENSION WITH MCC,1.0956,2.9,3.8,"$6,454.67 "
305,HYPERTENSION WITHOUT MCC,0.7385,2.2,2.7,"$4,350.84 "
306,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC,1.5037,3.7,5.1,"$8,858.97 "
307,CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC,0.8684,2.4,3,"$5,116.14 "
308,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC,1.1993,3.5,4.5,"$7,065.62 "
309,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC,0.7494,2.4,2.9,"$4,415.05 "
310,CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC,0.5584,1.9,2.2,"$3,289.79 "
311,ANGINA PECTORIS,0.697,1.9,2.4,"$4,106.34 "
312,SYNCOPE AND COLLAPSE,0.8372,2.3,2.9,"$4,932.32 "
313,CHEST PAIN,0.7208,1.7,2.1,"$4,246.56 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC,2.0834,4.8,6.6,"$12,274.25 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC,0.9752,2.8,3.6,"$5,745.34 "
316,OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC,0.7495,1.9,2.3,"$4,415.64 "
319,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,4.3158,7.7,10,"$25,426.32 "
320,OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,2.4437,2.5,3.6,"$14,396.94 "
326,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC",5.3777,9.7,13.2,"$31,682.45 "
327,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC",2.6096,4.7,6.4,"$15,374.33 "
328,"STOMACH, ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC",1.6655,2.3,2.9,"$9,812.21 "
329,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,4.8503,10.2,12.9,"$28,575.30 "
330,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,2.539,5.6,6.9,"$14,958.39 "
331,MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.7101,3.3,3.8,"$10,074.97 "
332,RECTAL RESECTION WITH MCC,4.1597,7.9,10.2,"$24,506.66 "
333,RECTAL RESECTION WITH CC,2.141,4.1,5.1,"$12,613.59 "
334,RECTAL RESECTION WITHOUT CC/MCC,1.6092,2.5,3,"$9,480.52 "
335,PERITONEAL ADHESIOLYSIS WITH MCC,3.8904,9.3,11.4,"$22,920.10 "
336,PERITONEAL ADHESIOLYSIS WITH CC,2.2829,5.9,7.2,"$13,449.59 "
337,PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC,1.6326,3.7,4.6,"$9,618.38 "
338,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,2.7988,6.4,8.1,"$16,488.99 "
339,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1.695,4,5,"$9,986.01 "
340,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.2284,2.4,2.9,"$7,237.06 "
341,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC,2.3162,4.3,5.8,"$13,645.78 "
342,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC,1.4331,2.7,3.4,"$8,443.04 "
343,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,1.1094,1.7,2,"$6,535.97 "
344,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC,2.8009,7,9.2,"$16,501.36 "
345,MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC,1.5777,4.3,5.4,"$9,294.94 "
346,MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC,1.275,3.1,3.6,"$7,511.60 "
347,ANAL AND STOMAL PROCEDURES WITH MCC,2.4616,5.6,7.5,"$14,502.39 "
348,ANAL AND STOMAL PROCEDURES WITH CC,1.3424,3.3,4.1,"$7,908.68 "
349,ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC,0.9793,1.9,2.3,"$5,769.50 "
350,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,2.4524,5.2,6.9,"$14,448.19 "
351,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC,1.4904,3.2,3.9,"$8,780.62 "
352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,1.103,2,2.4,"$6,498.27 "
353,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC,3.0083,5.9,7.7,"$17,723.25 "
354,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC,1.783,3.6,4.5,"$10,504.46 "
355,HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC,1.3592,2.4,2.8,"$8,007.66 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC,4.2914,7.6,10.4,"$25,282.57 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC,2.2537,4.6,5.9,"$13,277.56 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,1.339,2.8,3.5,"$7,888.65 "
368,MAJOR ESOPHAGEAL DISORDERS WITH MCC,1.9423,4.6,5.9,"$11,442.96 "
369,MAJOR ESOPHAGEAL DISORDERS WITH CC,1.0768,3.1,3.7,"$6,343.91 "
370,MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC,0.7476,2.1,2.5,"$4,404.45 "
371,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC,1.7283,5.2,6.8,"$10,182.19 "
372,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC,1.0276,3.8,4.7,"$6,054.05 "
373,MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC,0.7435,2.9,3.5,"$4,380.29 "
374,DIGESTIVE MALIGNANCY WITH MCC,2.0679,5.5,7.4,"$12,182.93 "
375,DIGESTIVE MALIGNANCY WITH CC,1.2049,3.6,4.6,"$7,098.61 "
376,DIGESTIVE MALIGNANCY WITHOUT CC/MCC,0.8952,2.5,3.1,"$5,274.03 "
377,GASTROINTESTINAL HEMORRHAGE WITH MCC,1.7989,4.4,5.7,"$10,598.13 "
378,GASTROINTESTINAL HEMORRHAGE WITH CC,0.9932,3,3.5,"$5,851.39 "
379,GASTROINTESTINAL HEMORRHAGE WITHOUT CC/MCC,0.6371,2.1,2.4,"$3,753.44 "
380,COMPLICATED PEPTIC ULCER WITH MCC,1.8831,4.9,6.3,"$11,094.19 "
381,COMPLICATED PEPTIC ULCER WITH CC,1.0597,3.2,3.9,"$6,243.17 "
382,COMPLICATED PEPTIC ULCER WITHOUT CC/MCC,0.7683,2.4,2.9,"$4,526.40 "
383,UNCOMPLICATED PEPTIC ULCER WITH MCC,1.3109,3.8,4.8,"$7,723.10 "
384,UNCOMPLICATED PEPTIC ULCER WITHOUT MCC,0.8924,2.5,3.1,"$5,257.53 "
385,INFLAMMATORY BOWEL DISEASE WITH MCC,1.6191,5,6.6,"$9,538.85 "
386,INFLAMMATORY BOWEL DISEASE WITH CC,0.9935,3.5,4.3,"$5,853.16 "
387,INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC,0.7135,2.6,3.2,"$4,203.55 "
388,GASTROINTESTINAL OBSTRUCTION WITH MCC,1.5118,4.7,6.1,"$8,906.69 "
389,GASTROINTESTINAL OBSTRUCTION WITH CC,0.8218,3.2,3.9,"$4,841.59 "
390,GASTROINTESTINAL OBSTRUCTION WITHOUT CC/MCC,0.5826,2.4,2.8,"$3,432.36 "
391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",1.2444,3.7,4.9,"$7,331.32 "
392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",0.7644,2.6,3.2,"$4,503.42 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC,1.6536,4.3,6,"$9,742.10 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,0.9386,3,3.8,"$5,529.71 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC,0.6497,2.2,2.6,"$3,827.68 "
405,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH MCC",5.7305,9.5,13,"$33,760.95 "
406,"PANCREAS, LIVER AND SHUNT PROCEDURES WITH CC",2.877,5.1,6.4,"$16,949.70 "
407,"PANCREAS, LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC",2.116,3.7,4.4,"$12,466.31 "
408,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC,3.7495,8.4,10.8,"$22,089.99 "
409,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC,2.1143,4.8,5.9,"$12,456.29 "
410,BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,1.5657,3.5,4.1,"$9,224.24 "
411,CHOLECYSTECTOMY WITH C.D.E. WITH MCC,3.7524,7.8,9.7,"$22,107.08 "
412,CHOLECYSTECTOMY WITH C.D.E. WITH CC,2.2757,5,6.2,"$13,407.17 "
413,CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC,1.7314,3.6,4.1,"$10,200.46 "
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC,3.6255,8,9.9,"$21,359.45 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC,2.0319,4.9,5.8,"$11,970.84 "
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC,1.4222,3,3.6,"$8,378.82 "
417,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC,2.4235,5.1,6.4,"$14,277.93 "
418,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC,1.6881,3.5,4.2,"$9,945.36 "
419,LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC,1.3152,2.4,2.8,"$7,748.44 "
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC,3.5141,7.3,10.2,"$20,703.14 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC,1.9089,3.8,5.2,"$11,246.19 "
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC,1.4514,2.7,3.3,"$8,550.85 "
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC,4.179,8.4,11.8,"$24,620.37 "
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC,2.2816,4.7,6.3,"$13,441.93 "
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC,1.5433,2.2,2.8,"$9,092.27 "
432,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC,1.8821,4.7,6.4,"$11,088.30 "
433,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC,1.0285,3.3,4.2,"$6,059.36 "
434,CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC,0.6196,2.2,2.8,"$3,650.34 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC,1.7528,4.8,6.3,"$10,326.53 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC,1.1202,3.4,4.3,"$6,599.60 "
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC,0.8945,2.4,3,"$5,269.90 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,1.5963,4.6,6.2,"$9,404.52 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC,0.8444,3.1,3.8,"$4,974.74 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC,0.6059,2.4,2.8,"$3,569.63 "
441,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC",1.8837,4.7,6.4,"$11,097.72 "
442,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC",0.9316,3.2,4,"$5,488.47 "
443,"DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC",0.6628,2.4,2.9,"$3,904.85 "
444,DISORDERS OF THE BILIARY TRACT WITH MCC,1.6688,4.4,5.7,"$9,831.65 "
445,DISORDERS OF THE BILIARY TRACT WITH CC,1.0768,3,3.8,"$6,343.91 "
446,DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC,0.8162,2.2,2.6,"$4,808.60 "
453,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH MCC,9.1936,7.5,9.6,"$54,163.63 "
454,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITH CC,6.0981,3.8,4.4,"$35,926.65 "
455,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC/MCC,4.791,2.4,2.8,"$28,225.94 "
456,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH MCC",8.5981,9.5,11.6,"$50,655.28 "
457,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITH CC",6.502,5.2,6.1,"$38,306.21 "
458,"SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC",5.0174,3,3.4,"$29,559.76 "
459,SPINAL FUSION EXCEPT CERVICAL WITH MCC,6.7318,6.9,8.6,"$39,660.06 "
460,SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC,3.9327,2.7,3.3,"$23,169.31 "
461,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC,6.0762,6.7,9.1,"$35,797.63 "
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC,3.1442,2.6,2.9,"$18,523.90 "
463,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH MCC,5.3654,9.9,13.4,"$31,609.99 "
464,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITH CC,2.9745,5.5,7.2,"$17,524.12 "
465,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,1.8436,2.6,3.4,"$10,861.48 "
466,REVISION OF HIP OR KNEE REPLACEMENT WITH MCC,5.345,7,8.8,"$31,489.80 "
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,3.5762,3.3,4.1,"$21,069.00 "
468,REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC,2.804,1.9,2.2,"$16,519.63 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPLACEMENT,3.0844,3.1,4.2,"$18,171.59 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,1.8999,1.8,2,"$11,193.17 "
471,CERVICAL SPINAL FUSION WITH MCC,5.0168,6.8,9,"$29,556.23 "
472,CERVICAL SPINAL FUSION WITH CC,3.0532,2.5,3.4,"$17,987.78 "
473,CERVICAL SPINAL FUSION WITHOUT CC/MCC,2.5402,1.6,2,"$14,965.46 "
474,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC,4.0728,9.4,12,"$23,994.70 "
475,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC,2.1936,5.8,7.2,"$12,923.48 "
476,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC,1.1598,2.9,3.5,"$6,832.90 "
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC,3.3569,8.1,10.1,"$19,777.01 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC,2.3569,5.2,6.5,"$13,885.56 "
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC,1.8093,3.3,4,"$10,659.40 "
480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,3.0245,6.2,7.3,"$17,818.69 "
481,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC,2.0955,4.3,4.7,"$12,345.53 "
482,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC,1.6468,3.3,3.6,"$9,702.04 "
483,MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES,2.3863,1.4,1.7,"$14,058.77 "
484,OTHER MALE REPRODUCTIVE SYSTEM & RELATED PROCEDURES,,,,"$56,436.90 "
485,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC,3.4076,8,9.6,"$20,075.71 "
486,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC,2.1484,5.2,6.1,"$12,657.19 "
487,KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,1.6403,3.6,4.1,"$9,663.75 "
488,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC,1.9746,3.1,4.2,"$11,633.26 "
489,KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC,1.2982,1.7,2.1,"$7,648.28 "
490,BACK & NECK PROC EXC SPINAL FUSION W CC/MCC OR DISC DEVICE/NEUROSTIM,,,,"$58,897.23 "
491,BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,,,,"$36,679.50 "
492,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC",3.4682,6.2,7.8,"$20,432.73 "
493,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC",2.3252,4,4.8,"$13,698.80 "
494,"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC",1.8519,2.7,3.2,"$10,910.38 "
495,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC,3.6342,7.3,9.6,"$21,410.71 "
496,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,1.9856,3.4,4.5,"$11,698.06 "
497,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC,1.4587,1.8,2.3,"$8,593.86 "
498,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC,2.5843,5.6,8,"$15,225.27 "
499,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC,1.1987,2,2.5,"$7,062.08 "
500,SOFT TISSUE PROCEDURES WITH MCC,3.1539,7.4,9.8,"$18,581.04 "
501,SOFT TISSUE PROCEDURES WITH CC,1.745,4.1,5.3,"$10,280.58 "
502,SOFT TISSUE PROCEDURES WITHOUT CC/MCC,1.3308,2.4,3,"$7,840.34 "
503,FOOT PROCEDURES WITH MCC,2.6287,6.8,8.6,"$15,486.85 "
504,FOOT PROCEDURES WITH CC,1.7739,3.9,4.8,"$10,450.84 "
505,FOOT PROCEDURES WITHOUT CC/MCC,1.7739,3.9,4.8,"$10,450.84 "
506,MAJOR THUMB OR JOINT PROCEDURES,1.4757,3.8,4.9,"$8,694.01 "
507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC,2.0223,4.7,5.9,"$11,914.28 "
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC,1.414,2.3,2.8,"$8,330.51 "
509,ARTHROSCOPY,1.6738,4.1,5.2,"$9,861.11 "
510,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC",2.7307,4.9,6.1,"$16,087.78 "
511,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",1.9685,3.4,4,"$11,597.32 "
512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",1.5562,2.1,2.5,"$9,168.27 "
513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",1.559,4,5.1,"$9,184.77 "
514,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC",0.9942,2.4,2.9,"$5,857.28 "
515,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC,3.137,6.4,8.2,"$18,481.48 "
516,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC,1.9611,3.7,4.6,"$11,553.72 "
517,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC,1.3967,2.1,2.6,"$8,228.59 "
518,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR,3.5843,4.2,6.4,"$21,116.72 "
519,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC,1.9577,3.2,4.1,"$11,533.69 "
520,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC,1.4174,2,2.4,"$8,350.54 "
521,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC,3.0634,6.2,7.2,"$18,047.87 "
522,HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC,2.1891,4.1,4.5,"$12,896.97 "
533,FRACTURES OF FEMUR WITH MCC,1.4126,4,5.2,"$8,322.26 "
534,FRACTURES OF FEMUR WITHOUT MCC,0.7886,2.8,3.4,"$4,646.00 "
535,FRACTURES OF HIP AND PELVIS WITH MCC,1.2338,3.8,4.7,"$7,268.87 "
536,FRACTURES OF HIP AND PELVIS WITHOUT MCC,0.7716,2.9,3.3,"$4,545.84 "
537,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC",0.9332,3.1,3.7,"$5,497.90 "
538,"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT CC/MCC",0.7214,2.6,3.1,"$4,250.09 "
539,OSTEOMYELITIS WITH MCC,1.9412,5.9,7.9,"$11,436.48 "
540,OSTEOMYELITIS WITH CC,1.2953,4.3,5.7,"$7,631.20 "
